day,tail,position,green,double,magenta,mitosis,unlabelled
0,1,100,94.44,0.00,5.56,0.00,0.00
0,1,200,92.86,0.00,7.14,0.00,0.00
0,1,300,100.00,0.00,0.00,0.00,0.00
0,1,400,84.62,7.69,7.69,0.00,0.00
0,1,500,84.62,7.69,7.69,0.00,0.00
0,1,600,85.71,7.14,7.14,0.00,0.00
0,1,700,83.33,8.33,8.33,0.00,0.00
0,1,800,92.31,0.00,7.69,0.00,0.00
0,1,900,85.71,7.14,7.14,0.00,0.00
0,1,1000,86.67,0.00,6.67,0.00,6.67
0,1,1100,93.75,0.00,6.25,0.00,0.00
0,1,1200,86.67,6.67,6.67,0.00,0.00
0,1,1300,95.00,0.00,5.00,0.00,0.00
0,1,1400,88.89,0.00,11.11,0.00,0.00
0,1,1500,NaN,NaN,NaN,NaN,NaN
0,1,1600,NaN,NaN,NaN,NaN,NaN
0,1,1700,NaN,NaN,NaN,NaN,NaN
0,1,1800,NaN,NaN,NaN,NaN,NaN
0,2,100,90.00,0.00,10.00,0.00,0.00
0,2,200,88.89,0.00,11.11,0.00,0.00
0,2,300,92.31,7.69,0.00,0.00,0.00
0,2,400,85.71,7.14,7.14,0.00,0.00
0,2,500,94.74,0.00,5.26,0.00,0.00
0,2,600,93.75,0.00,6.25,0.00,0.00
0,2,700,87.50,0.00,6.25,0.00,6.25
0,2,800,100.00,0.00,0.00,0.00,0.00
0,2,900,100.00,0.00,0.00,0.00,0.00
0,2,1000,86.67,6.67,6.67,0.00,0.00
0,2,1100,87.50,6.25,6.25,0.00,0.00
0,2,1200,94.74,0.00,5.26,0.00,0.00
0,2,1300,100.00,0.00,0.00,0.00,0.00
0,2,1400,87.50,0.00,12.50,0.00,0.00
0,2,1500,93.75,0.00,6.25,0.00,0.00
0,2,1600,100.00,0.00,0.00,0.00,0.00
0,2,1700,NaN,NaN,NaN,NaN,NaN
0,2,1800,NaN,NaN,NaN,NaN,NaN
0,3,100,86.36,0.00,13.64,0.00,0.00
0,3,200,87.50,6.25,6.25,0.00,0.00
0,3,300,82.35,5.88,11.76,0.00,0.00
0,3,400,90.00,5.00,5.00,0.00,0.00
0,3,500,80.00,6.67,13.33,0.00,0.00
0,3,600,75.00,0.00,16.67,0.00,8.33
0,3,700,85.00,10.00,5.00,0.00,0.00
0,3,800,94.44,0.00,5.56,0.00,0.00
0,3,900,88.24,0.00,11.76,0.00,0.00
0,3,1000,86.67,0.00,13.33,0.00,0.00
