,0
0,-13.2
1,-13.2
2,-26.4
3,-39.599999999999994
4,-39.599999999999994
5,-39.599999999999994
6,-65.99999999999999
7,-65.99999999999999
8,-79.19999999999999
9,-92.39999999999999
10,-92.39999999999999
11,-105.6
12,-118.8
13,-118.8
14,-132.0
15,-145.20000000000002
16,-158.4
17,-145.20000000000002
18,-171.60000000000002
19,-171.60000000000002
20,-184.8
21,-198.00000000000003
22,-198.00000000000003
23,-224.40000000000003
24,-224.40000000000003
25,-237.60000000000002
26,-250.8
27,-250.8
28,-264.0
29,-264.00000000000006
30,-277.20000000000005
31,-290.40000000000003
32,-303.6
33,-316.8
34,-316.8
35,-330.00000000000006
36,-343.20000000000005
37,-343.20000000000005
38,-356.40000000000003
39,-369.6
40,-369.6
41,-369.6
42,-396.00000000000006
43,-382.80000000000007
44,-409.20000000000005
45,-422.40000000000003
46,-435.6
47,-435.6
48,-448.7999999999999
49,-448.7999999999999
50,-448.7999999999999
51,-461.9999999999998
52,-488.39999999999964
53,-488.39999999999964
54,-501.5999999999995
55,-514.7999999999995
56,-527.9999999999995
57,-527.9999999999995
58,-541.1999999999995
59,-541.1999999999995
60,-541.1999999999995
61,-567.5999999999995
62,-567.5999999999995
63,-580.7999999999994
64,-580.7999999999994
65,-607.1999999999994
66,-620.3999999999994
67,-607.1999999999994
68,-633.5999999999993
69,-646.7999999999994
70,-646.7999999999994
71,-659.9999999999993
72,-659.9999999999993
73,-673.1999999999994
74,-686.3999999999993
75,-699.5999999999993
76,-673.1999999999994
77,-712.7999999999994
78,-725.9999999999994
79,-739.1999999999995
80,-725.9999999999994
81,-752.3999999999994
82,-765.5999999999993
83,-765.5999999999993
84,-765.5999999999993
85,-791.9999999999994
86,-791.9999999999994
87,-805.1999999999994
88,-818.3999999999994
89,-818.3999999999994
90,-818.3999999999994
91,-818.3999999999994
92,-818.3999999999994
93,-818.3999999999994
94,-818.3999999999994
95,-818.3999999999994
96,-791.9999999999994
97,-791.9999999999994
98,-791.9999999999994
99,-791.9999999999994
100,-791.9999999999994
101,-765.5999999999995
102,-765.5999999999995
103,-752.3999999999994
104,-752.3999999999994
105,-752.3999999999994
106,-739.1999999999994
107,-725.9999999999993
108,-712.7999999999993
109,-712.7999999999993
110,-712.7999999999993
111,-712.7999999999993
112,-712.7999999999993
113,-712.7999999999993
114,-712.7999999999993
115,-712.7999999999993
116,-712.7999999999993
117,-712.7999999999993
118,-712.7999999999993
119,-712.7999999999993
120,-712.7999999999993
121,-686.3999999999993
122,-686.3999999999993
123,-686.3999999999993
124,-686.3999999999993
125,-686.3999999999993
126,-673.1999999999992
127,-673.1999999999992
128,-673.1999999999992
129,-673.1999999999992
130,-673.1999999999992
131,-673.1999999999992
132,-673.1999999999992
133,-673.1999999999992
134,-673.1999999999992
135,-673.1999999999992
136,-659.9999999999992
137,-659.9999999999992
138,-659.9999999999992
139,-646.7999999999992
140,-633.5999999999991
141,-633.5999999999991
142,-633.5999999999991
143,-633.5999999999991
144,-633.5999999999991
145,-633.5999999999991
146,-633.5999999999991
147,-620.3999999999991
148,-607.199999999999
149,-607.199999999999
150,-607.199999999999
151,-607.199999999999
152,-607.199999999999
153,-607.199999999999
154,-607.199999999999
155,-593.999999999999
156,-593.999999999999
157,-593.999999999999
158,-593.999999999999
159,-593.999999999999
160,-593.999999999999
161,-593.999999999999
162,-593.999999999999
163,-593.999999999999
164,-593.999999999999
165,-593.999999999999
166,-593.999999999999
167,-593.999999999999
168,-593.999999999999
169,-580.7999999999989
170,-580.7999999999989
171,-580.7999999999989
172,-567.5999999999989
173,-567.5999999999989
174,-567.5999999999989
175,-567.5999999999989
176,-554.3999999999988
177,-554.3999999999988
178,-541.1999999999988
179,-541.1999999999988
180,-541.1999999999988
181,-541.1999999999988
182,-514.7999999999988
183,-514.7999999999988
184,-501.59999999999883
185,-488.39999999999884
186,-488.39999999999884
187,-488.39999999999884
188,-475.19999999999885
189,-461.99999999999886
190,-461.99999999999886
191,-422.39999999999884
192,-409.19999999999885
